Make,Model,Type,Origin,DriveTrain,Length,Mileage
Acura,MDX,SUV,Asia,All,4451,11
Acura,RSX Type S 2dr,Sedan,Asia,Front,2778,13
Acura,TSX 4dr,Sedan,Asia,Front,3230,10
Acura,TL 4dr,Sedan,Asia,Front,3575,14
Acura,3.5 RL 4dr,Sedan,Asia,Front,3880,14
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,3893,12
Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,3153,14
Audi,A4 1.8T 4dr,Sedan,Europe,Front,3252,14
Audi,A41.8T convertible 2dr,Sedan,Europe,Front,3638,12
Audi,A4 3.0 4dr,Sedan,Europe,Front,3462,13
Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,All,3583,11
Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,All,3627,16
Audi,A6 3.0 4dr,Sedan,Europe,Front,3561,17
Audi,A6 3.0 Quattro 4dr,Sedan,Europe,All,3880,10
Audi,A4 3.0 convertible 2dr,Sedan,Europe,Front,3814,15
Audi,A4 3.0 Quattro convertible 2dr,Sedan,Europe,All,4013,18
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,Europe,All,3836,13
Audi,A6 4.2 Quattro 4dr,Sedan,Europe,All,4024,20
Audi,A8 L Quattro 4dr,Sedan,Europe,All,4399,14
Audi,S4 Quattro 4dr,Sedan,Europe,All,3825,17
Audi,RS 6 4dr,Sports,Europe,Front,4024,19
Audi,TT 1.8 convertible 2dr (coupe),Sports,Europe,Front,3131,16
Audi,TT 1.8 Quattro 2dr (convertible),Sports,Europe,All,2921,20
Audi,TT 3.2 coupe 2dr (convertible),Sports,Europe,All,3351,15
Audi,A6 3.0 Avant Quattro,Wagon,Europe,All,4035,15
Audi,S4 Avant Quattro,Wagon,Europe,All,3936,15
BMW,X3 3.0i,SUV,Europe,All,4023,17
BMW,X5 4.4i,SUV,Europe,All,4824,19
BMW,325i 4dr,Sedan,Europe,Rear,3219,13
BMW,325Ci 2dr,Sedan,Europe,Rear,3197,11
BMW,325Ci convertible 2dr,Sedan,Europe,Rear,3560,10
BMW,325xi 4dr,Sedan,Europe,All,3461,15
BMW,330i 4dr,Sedan,Europe,Rear,3285,12
BMW,330Ci 2dr,Sedan,Europe,Rear,3285,14
BMW,330xi 4dr,Sedan,Europe,All,3483,20
BMW,525i 4dr,Sedan,Europe,Rear,3428,17
BMW,330Ci convertible 2dr,Sedan,Europe,Rear,3616,20
BMW,530i 4dr,Sedan,Europe,Rear,3472,15
BMW,545iA 4dr,Sedan,Europe,Rear,3814,16
BMW,745i 4dr,Sedan,Europe,Rear,4376,15
BMW,745Li 4dr,Sedan,Europe,Rear,4464,14
BMW,M3 coupe 2dr,Sports,Europe,Rear,3415,17
BMW,M3 convertible 2dr,Sports,Europe,Rear,3781,13
BMW,Z4 convertible 2.5i 2dr,Sports,Europe,Rear,2932,19
BMW,Z4 convertible 3.0i 2dr,Sports,Europe,Rear,2998,19
BMW,325xi Sport,Wagon,Europe,All,3594,13
Buick,Rainier,SUV,USA,All,4600,19
Buick,Rendezvous CX,SUV,USA,Front,4024,20
Buick,Century Custom 4dr,Sedan,USA,Front,3353,13
Buick,LeSabre Custom 4dr,Sedan,USA,Front,3567,18
Buick,Regal LS 4dr,Sedan,USA,Front,3461,15
Buick,Regal GS 4dr,Sedan,USA,Front,3536,16
Buick,LeSabre Limited 4dr,Sedan,USA,Front,3591,15
Buick,Park Avenue 4dr,Sedan,USA,Front,3778,19
Buick,Park Avenue Ultra 4dr,Sedan,USA,Front,3909,19
Cadillac,Escalade,SUV,USA,Front,5367,12
Cadillac,SRX V8,SUV,USA,Front,4302,20
Cadillac,CTS VVT 4dr,Sedan,USA,Rear,3694,14
Cadillac,Deville 4dr,Sedan,USA,Front,3984,10
Cadillac,Deville DTS 4dr,Sedan,USA,Front,4044,14
Cadillac,Seville SLS 4dr,Sedan,USA,Front,3992,11
Cadillac,XLR convertible 2dr,Sports,USA,Rear,3647,16
Cadillac,Escalade EXT,Truck,USA,All,5879,13
Chevrolet,Suburban 1500 LT,SUV,USA,Front,4947,14
Chevrolet,Tahoe LT,SUV,USA,All,5050,10
Chevrolet,TrailBlazer LT,SUV,USA,Front,4425,17
Chevrolet,Tracker,SUV,USA,Front,2866,13
Chevrolet,Aveo 4dr,Sedan,USA,Front,2370,19
Chevrolet,Aveo LS 4dr hatch,Sedan,USA,Front,2348,11
Chevrolet,Cavalier 2dr,Sedan,USA,Front,2617,16
Chevrolet,Cavalier 4dr,Sedan,USA,Front,2676,11
Chevrolet,Cavalier LS 2dr,Sedan,USA,Front,2617,18
Chevrolet,Impala 4dr,Sedan,USA,Front,3465,13
Chevrolet,Malibu 4dr,Sedan,USA,Front,3174,11
Chevrolet,Malibu LS 4dr,Sedan,USA,Front,3297,15
Chevrolet,Monte Carlo LS 2dr,Sedan,USA,Front,3340,12
Chevrolet,Impala LS 4dr,Sedan,USA,Front,3476,20
Chevrolet,Impala SS 4dr,Sedan,USA,Front,3606,15
Chevrolet,Malibu LT 4dr,Sedan,USA,Front,3315,20
Chevrolet,Monte Carlo SS 2dr,Sedan,USA,Front,3434,18
Chevrolet,Astro,Sedan,USA,All,4605,18
Chevrolet,Venture LS,Sedan,USA,Front,3699,12
Chevrolet,Corvette 2dr,Sports,USA,Rear,3246,17
Chevrolet,Corvette convertible 2dr,Sports,USA,Rear,3248,11
Chevrolet,Avalanche 1500,Truck,USA,All,5678,16
Chevrolet,Colorado Z85,Truck,USA,All,3623,20
Chevrolet,Silverado 1500 Regular Cab,Truck,USA,Rear,4142,19
Chevrolet,Silverado SS,Truck,USA,All,4804,16
Chevrolet,SSR,Truck,USA,Rear,4760,17
Chevrolet,Malibu Maxx LS,Wagon,USA,Front,3458,11
Chrysler,PT Cruiser 4dr,Sedan,USA,Front,3101,18
Chrysler,PT Cruiser Limited 4dr,Sedan,USA,Front,3105,13
Chrysler,Sebring 4dr,Sedan,USA,Front,3173,14
Chrysler,Sebring Touring 4dr,Sedan,USA,Front,3222,13
Chrysler,300M 4dr,Sedan,USA,Front,3581,19
Chrysler,Concorde LX 4dr,Sedan,USA,Front,3479,11
Chrysler,Concorde LXi 4dr,Sedan,USA,Front,3548,13
Chrysler,PT Cruiser GT 4dr,Sedan,USA,Front,3217,19
Chrysler,Sebring convertible 2dr,Sedan,USA,Front,3357,15
Chrysler,300M Special Edition 4dr,Sedan,USA,Front,3650,10
Chrysler,Sebring Limited convertible 2dr,Sedan,USA,Front,3448,20
Chrysler,Town and Country LX,Sedan,USA,Front,4068,19
Chrysler,Town and Country Limited,Sedan,USA,Front,4331,11
